timestamp,location_name,latitude,longitude,solar_radiation_kw_per_m2,raw_allsky_sfc_sw_dwn_wh_per_m2,source,source_dataset,time_standard
2023-01-05T09:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.21893,218.93,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T10:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.4278,427.8,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T11:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.59933,599.33,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T12:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.70445,704.45,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T13:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.7034199999999999,703.42,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T14:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.66442,664.42,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T15:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.57425,574.25,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T16:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.42464999999999997,424.65,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T17:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.24445,244.45,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T18:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.081,81.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T19:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T20:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T21:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T22:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-05T23:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T00:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T01:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T02:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T03:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T04:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T05:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T06:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T07:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T08:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.04155,41.55,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T09:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.18325,183.25,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T10:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.33912,339.12,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-06T11:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.5213,521.3,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
