hour_of_year,timestamp,wind_speed_100m_m_s,solar_radiation_w_m2,solar_radiation_kw_m2,source
138,2023-01-06 17:00:00,8.71,296.0,0.296,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
139,2023-01-06 18:00:00,8.71,92.0,0.092,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
140,2023-01-06 19:00:00,9.49,3.0,0.003,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
141,2023-01-06 20:00:00,9.58,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
142,2023-01-06 21:00:00,9.22,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
143,2023-01-06 22:00:00,8.92,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
144,2023-01-06 23:00:00,9.4,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
145,2023-01-07 00:00:00,9.25,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
146,2023-01-07 01:00:00,8.81,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
147,2023-01-07 02:00:00,8.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
148,2023-01-07 03:00:00,8.05,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
149,2023-01-07 04:00:00,8.5,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
150,2023-01-07 05:00:00,8.82,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
151,2023-01-07 06:00:00,8.77,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
152,2023-01-07 07:00:00,9.17,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
153,2023-01-07 08:00:00,9.93,13.0,0.013,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
154,2023-01-07 09:00:00,10.16,59.0,0.059,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
155,2023-01-07 10:00:00,10.11,191.0,0.191,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
156,2023-01-07 11:00:00,10.43,192.0,0.192,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
157,2023-01-07 12:00:00,10.69,254.0,0.254,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
158,2023-01-07 13:00:00,10.11,310.0,0.31,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
